testing_performance,testing_complexity,training_performance,training_complexity,task_id,selection,split,task_type,seed
0.74666667,57541,0.8051948,13121,359955,lexicase,80%,classification,616
0.76,51,0.81447124,51,359955,lexicase,80%,classification,617
0.8679245,1819,0.8710526,1819,359956,lexicase,80%,classification,692
0.84615386,284421,0.7401575,71901,168784,lexicase,80%,classification,907
0.76,9601,0.8014842,1501,359955,lexicase,80%,classification,609
0.87058824,1425,0.7996716,1425,190146,lexicase,80%,classification,630
0.99421966,2608,0.9726688,2608,359960,lexicase,80%,classification,871
0.9768786,402,0.9790997,403,359960,lexicase,80%,classification,876
0.7,7,0.76111114,7,168757,lexicase,80%,classification,672
0.8153846,478301,0.7308518,126561,168784,lexicase,80%,classification,919
0.89726025,3049,0.92,3049,359958,lexicase,80%,classification,752
0.72,11,0.76805556,11,168757,lexicase,80%,classification,664
0.88235295,1297,0.82758623,1297,190146,lexicase,80%,classification,632
0.7764706,385,0.81116587,84,190146,lexicase,80%,classification,628
0.67785233,94821,0.59456927,20091,2073,lexicase,80%,classification,818
0.89041096,27,0.9114286,23,359958,lexicase,80%,classification,743
0.76,92,0.80890536,92,359955,lexicase,80%,classification,620
0.74,514,0.7569444,514,168757,lexicase,80%,classification,662
0.76811594,368,0.88531184,392,146818,lexicase,80%,classification,554
0.86255926,2497,0.8624095,2497,359962,lexicase,80%,classification,966
0.8235294,387,0.7947455,389,190146,lexicase,80%,classification,641
0.8490566,79851,0.8710526,18741,359956,lexicase,80%,classification,698
0.86255926,279641,0.87294275,68771,359962,lexicase,80%,classification,951
0.75,28321,0.75416666,5841,168757,lexicase,80%,classification,674
0.6216216,481,0.6415094,105,359954,lexicase,80%,classification,570
0.76,1460,0.76111114,1460,168757,lexicase,80%,classification,669
0.99421966,2381,0.977492,2381,359960,lexicase,80%,classification,869
0.73333335,10041,0.81447124,1501,359955,lexicase,80%,classification,594
0.8352941,1026,0.77504104,1026,190146,lexicase,80%,classification,626
0.88235295,1025,0.81937605,1025,190146,lexicase,80%,classification,642
0.6216216,2772,0.6471698,2772,359954,lexicase,80%,classification,582
0.89855075,5,0.8832998,5,146818,lexicase,80%,classification,553
0.83076924,239761,0.75017893,74681,168784,lexicase,80%,classification,909
0.8490566,873,0.86710525,873,359956,lexicase,80%,classification,689
0.8490566,973,0.8736842,973,359956,lexicase,80%,classification,707
0.97109824,855,0.977492,855,359960,lexicase,80%,classification,873
0.73333335,51,0.81632656,51,359955,lexicase,80%,classification,598
0.6621622,1329,0.6603774,1329,359954,lexicase,80%,classification,567
0.5878378,307,0.55754715,307,359959,lexicase,80%,classification,797
0.9130435,17426,0.8832998,4286,146818,lexicase,80%,classification,533
0.884058,20601,0.89939636,4141,146818,lexicase,80%,classification,551
0.8352941,357,0.80131364,109,190146,lexicase,80%,classification,647
0.6912752,1935,0.5992509,1934,2073,lexicase,80%,classification,801
0.91780823,1630,0.91809523,1630,359958,lexicase,80%,classification,764
0.8235294,1880,0.8045977,1880,190146,lexicase,80%,classification,636
0.6621622,50696,0.6603774,11376,359954,lexicase,80%,classification,583
0.82051283,464971,0.7637795,111381,168784,lexicase,80%,classification,896
0.74,163,0.75,163,168757,lexicase,80%,classification,675
0.7733333,2580,0.8051948,2580,359955,lexicase,80%,classification,615
0.5945946,574,0.6962264,574,359954,lexicase,80%,classification,565
0.6216216,2177,0.5745283,2177,359959,lexicase,80%,classification,785
0.8584906,818,0.8657895,816,359956,lexicase,80%,classification,702
0.8773585,391,0.8736842,100,359956,lexicase,80%,classification,693
0.9130435,52746,0.9054326,15546,146818,lexicase,80%,classification,542
0.76,154,0.8070501,154,359955,lexicase,80%,classification,593
0.85507244,25,0.8772636,25,146818,lexicase,80%,classification,541
0.8405797,38,0.889336,36,146818,lexicase,80%,classification,552
0.6510067,211,0.58707863,125,2073,lexicase,80%,classification,815
0.8835617,334,0.92,334,359958,lexicase,80%,classification,750
0.6577181,961,0.5926966,961,2073,lexicase,80%,classification,810
1.0,831,0.9694534,831,359960,lexicase,80%,classification,864
0.79,2,0.75416666,2,168757,lexicase,80%,classification,676
0.8584906,1059,0.8763158,1059,359956,lexicase,80%,classification,686
0.7772512,1550,0.86372614,379,359962,lexicase,80%,classification,956
